,longitud,latitud,tipo
73,-99.043514,19.295363000000002,tiradero
74,-99.13993,19.304660000000002,tiradero
75,-99.045074,19.310666,tiradero
76,-99.15581,19.31317,tiradero
77,-99.16798,19.31587,tiradero
78,-98.965416,19.316577,tiradero
79,-99.13141,19.319020000000002,tiradero
80,-99.15611,19.31917,tiradero
81,-99.1192071,19.3240026,tiradero
82,-99.03944,19.32531,tiradero
83,-99.10598,19.32969,tiradero
84,-99.05832,19.33284,tiradero
85,-99.11859,19.33719,tiradero
86,-98.98363,19.34059,tiradero
87,-99.03408,19.34382,tiradero
88,-99.16544,19.3543,tiradero
89,-99.19832190000001,19.3571559,tiradero
90,-99.2031528,19.358080100000002,tiradero
91,-99.2523116,19.3603598,tiradero
92,-99.126141,19.3617588,tiradero
93,-99.18601,19.36197,tiradero
94,-99.0655451,19.362942899999997,tiradero
95,-99.0309,19.363139999999998,tiradero
96,-99.247948,19.363252499999998,tiradero
97,-99.14699,19.36351,tiradero
98,-98.99320999999999,19.36506,tiradero
99,-99.09758000000001,19.36577,tiradero
100,-99.16320999999999,19.36589,tiradero
101,-99.1991457,19.366764899999996,tiradero
102,-99.2045892,19.3684686,tiradero
103,-99.03491,19.36965,tiradero
104,-99.14168000000001,19.37023,tiradero
105,-99.162,19.371029999999998,tiradero
106,-99.18815,19.372510000000002,tiradero
107,-99.1224,19.375629999999997,tiradero
108,-99.18982,19.3854,tiradero
109,-99.12219,19.38569,tiradero
110,-99.18524000000001,19.39649,tiradero
111,-99.15012,19.39819,tiradero
112,-99.1927019,19.399580800000003,tiradero
113,-99.19763,19.40315,tiradero
114,-99.15055,19.40546,tiradero
115,-99.1466,19.40567,tiradero
116,-99.19049,19.40974,tiradero
117,-99.14918,19.40994,tiradero
118,-99.13674,19.41773,tiradero
119,-99.14751,19.41923,tiradero
120,-99.13953000000001,19.42551,tiradero
121,-99.1240764,19.425561,tiradero
122,-99.1204288,19.4264287,tiradero
123,-99.12631,19.427429999999998,tiradero
124,-99.1409,19.43417,tiradero
125,-99.15375999999999,19.44117,tiradero
126,-99.1379565,19.4419738,tiradero
127,-99.13526999999999,19.44275,tiradero
128,-99.1274,19.44308,tiradero
129,-99.13276,19.44339,tiradero
130,-99.1424,19.44533,tiradero
131,-99.13051999999999,19.446260000000002,tiradero
132,-99.14335,19.446460000000002,tiradero
133,-99.13266,19.44755,tiradero
134,-99.12764,19.44755,tiradero
135,-99.12588000000001,19.44817,tiradero
136,-99.13020999999999,19.44819,tiradero
137,-99.11792990000001,19.450500299999998,tiradero
138,-99.113977,19.4510845,tiradero
139,-99.20926999999999,19.45514,tiradero
140,-99.1870007,19.457269,tiradero
141,-99.18214,19.45916,tiradero
142,-99.1889324,19.4712547,tiradero
143,-99.1957358,19.4740704,tiradero
144,-99.19268459999999,19.49478,tiradero
145,-99.07785,19.30003,tiradero
146,-99.13786999999999,19.3062,tiradero
147,-99.07785,19.30003,tiradero
148,-99.0939189,19.252919,tiradero
149,-99.0369,19.303072,tiradero
150,-99.1213181,19.445445499999998,tiradero
151,-99.12935999999999,19.446070000000002,tiradero
152,-99.1033923,19.4473331,tiradero
153,-99.14672,19.448,tiradero
154,-99.14686999999999,19.44802,tiradero
155,-99.12588000000001,19.44817,tiradero
156,-99.1460776,19.4508191,tiradero
157,-99.14286,19.45861,tiradero
158,-99.1581,19.45884,tiradero
159,-99.1613102,19.45930889,tiradero
160,-99.13766,19.46089,tiradero
161,-99.18225090000001,19.4644771,tiradero
162,-99.18876709999999,19.4677891,tiradero
163,-99.1677273,19.4708717,tiradero
164,-99.1900868,19.471337899999998,tiradero
165,-99.1913878,19.477894600000003,tiradero
166,-99.13164,19.44284,tiradero
167,-99.19144,19.401529999999998,tiradero
168,-99.0618,19.39834,tiradero
169,-99.2031,19.40183,tiradero
170,-99.15924,19.40036,tiradero
171,-99.13363000000001,19.40459,tiradero
172,-99.18312,19.414089999999998,tiradero
173,-99.1384,19.41732,tiradero
174,-99.14494,19.41607,tiradero
175,-99.1391699,19.416539999999998,tiradero
176,-99.14817,19.41551,tiradero
177,-99.10488000000001,19.3866,tiradero
178,-99.07549,19.3923,tiradero
179,-99.11387890000002,19.3927343,tiradero
180,-99.06128000000001,19.3943,tiradero
181,-99.0668,19.38786,tiradero
182,-99.14344,19.388270000000002,tiradero
183,-99.10986,19.39647,tiradero
184,-99.06239000000001,19.39563,tiradero
185,-99.14818000000001,19.39818,tiradero
186,-99.16622,19.39736,tiradero
187,-99.14453,19.3966,tiradero
188,-99.1177934,19.4421035,tiradero
189,-99.1330489,19.4416275,tiradero
190,-99.13741,19.439729999999997,tiradero
191,-99.10941209999999,19.426935,tiradero
192,-99.0558518,19.4229685,tiradero
193,-99.13083,19.42601,tiradero
194,-99.12525,19.42833,tiradero
195,-99.12633000000001,19.427670000000003,tiradero
196,-99.13497,19.42848,tiradero
197,-99.1536,19.42597,tiradero
198,-99.10543129999999,19.429915100000002,tiradero
199,-99.1195307,19.437043600000003,tiradero
200,-99.10221640000002,19.4317011,tiradero
201,-99.1063795,19.4336065,tiradero
202,-99.1224488,19.4319167,tiradero
203,-99.11817109999998,19.4109874,tiradero
204,-99.1281,19.4123,tiradero
205,-99.07308,19.41155,tiradero
206,-99.1481699,19.40569,tiradero
207,-99.15055,19.40546,tiradero
208,-99.215016,19.3710882,tiradero
209,-99.17576,19.3730699,tiradero
