ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
MC11662,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.290772,-99.238338,1,Mi_Barrio
MC11672,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.295468,-99.231913,1,Mi_Barrio
MC11680,SANTO TOMAS AJUSCO 2544,TLALPAN,19.2336688,-99.233688,1,Mi_Barrio
MC11700,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.28919,-99.241433,1,Mi_Barrio
MC11712,PEDREGAL DE SAN NICOLAS 2DA SECCION,TLALPAN,19.290002,-99.230793,1,Mi_Barrio
MC11711,PEDREGAL DE SAN NICOLAS 2DA SECCION,TLALPAN,19.289732,-99.232557,1,Mi_Barrio
MC11720,PEDREGAL DE SAN NICOLAS 2DA SECCION,TLALPAN,19.28677,-99.23691,1,Mi_Barrio
MC11701,SANTO TOMAS AJUSCO 2544,TLALPAN,19.23822,-99.23822,1,Mi_Barrio
MC11703,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.289275,-99.24019,1,Mi_Barrio
MC11743,PEDREGAL DE SAN NICOLAS 1RA SECCION 2373,TLALPAN,19.283039,-99.230276,1,Mi_Barrio
MC11726,PEDREGAL DE SAN NICOLAS 1RA SECCION 2373,TLALPAN,19.283067,-99.238407,1,Mi_Barrio
MC11729,PEDREGAL DE SAN NICOLAS 1RA SECCION 2373,TLALPAN,19.285033,-99.238153,1,Mi_Barrio
MC11774,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.279573,-99.235792,1,Mi_Barrio
MC11750,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.280025,-99.230627,1,Mi_Barrio
MC11752,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.280745,-99.238402,1,Mi_Barrio
MC11776,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.278967,-99.241872,1,Mi_Barrio
MC11769,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.281452,-99.230807,1,Mi_Barrio
MC11755,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.27796,-99.239117,1,Mi_Barrio
MC11744,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.28277,-99.231695,1,Mi_Barrio
